Title,Genre,Rate,Votes,Gross(M)
59. Avengers: Endgame (2019),Action,8.4,772451,858.37
60. Avengers: Infinity War (2018),Action,8.4,806961,678.82
355. The Avengers (2012),Action,8.0,1246498,623.28
355. The Avengers (2012),Action,8.0,1246498,623.28
355. The Avengers (2012),Action,8.0,1246498,623.28
355. The Avengers (2012),Action,8.0,1246498,623.28
355. The Avengers (2012),Action,8.0,1246498,623.28
355. The Avengers (2012),Action,8.0,1246498,623.28
355. The Avengers (2012),Action,8.0,1246498,623.28
3. The Dark Knight (2008),Action,9.0,2260649,534.86
63. The Dark Knight Rises (2012),Action,8.4,1491281,448.14
260. Jurassic Park (1993),Action,8.1,852358,402.45
5. The Lord of the Rings: The Return of the King (2003),Action,8.9,1614369,377.85
347. Deadpool (2016),Action,8.0,887463,363.07
347. Deadpool (2016),Action,8.0,887463,363.07
347. Deadpool (2016),Action,8.0,887463,363.07
347. Deadpool (2016),Action,8.0,887463,363.07
347. Deadpool (2016),Action,8.0,887463,363.07
347. Deadpool (2016),Action,8.0,887463,363.07
347. Deadpool (2016),Action,8.0,887463,363.07
15. The Lord of the Rings: The Two Towers (2002),Action,8.7,1459119,342.55
338. Guardians of the Galaxy (2014),Action,8.0,1028841,333.18
338. Guardians of the Galaxy (2014),Action,8.0,1028841,333.18
338. Guardians of the Galaxy (2014),Action,8.0,1028841,333.18
338. Guardians of the Galaxy (2014),Action,8.0,1028841,333.18
338. Guardians of the Galaxy (2014),Action,8.0,1028841,333.18
338. Guardians of the Galaxy (2014),Action,8.0,1028841,333.18
338. Guardians of the Galaxy (2014),Action,8.0,1028841,333.18
29. Star Wars: Episode IV - A New Hope (1977),Action,8.6,1211042,322.74
11. The Lord of the Rings: The Fellowship of the Ring (2001),Action,8.8,1630106,315.54
110. Star Wars: Episode VI - Return of the Jedi (1983),Action,8.3,933808,309.13
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Action,8.0,1004943,305.41
9. Inception (2010),Action,8.8,2022655,292.58
18. Star Wars: Episode V - The Empire Strikes Back (1980),Action,8.7,1139296,290.48
376. The Incredibles (2004),Action,8.0,646521,261.44
376. The Incredibles (2004),Action,8.0,646521,261.44
376. The Incredibles (2004),Action,8.0,646521,261.44
376. The Incredibles (2004),Action,8.0,646521,261.44
376. The Incredibles (2004),Action,8.0,646521,261.44
376. The Incredibles (2004),Action,8.0,646521,261.44
376. The Incredibles (2004),Action,8.0,646521,261.44
72. Raiders of the Lost Ark (1981),Action,8.4,870596,248.16
360. The Bourne Ultimatum (2007),Action,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Action,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Action,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Action,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Action,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Action,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Action,8.0,599314,227.47
228. How to Train Your Dragon (2010),Action,8.1,655613,217.58
154. Batman Begins (2005),Action,8.2,1287216,206.85
44. Terminator 2: Judgment Day (1991),Action,8.5,980974,204.84
167. Indiana Jones and the Last Crusade (1989),Action,8.2,681051,197.17
58. Spider-Man: Into the Spider-Verse (2018),Action,8.4,344823,190.24
39. Gladiator (2000),Action,8.5,1317068,187.71
342. The Revenant (2015),Action,8.0,690094,183.64
342. The Revenant (2015),Action,8.0,690094,183.64
342. The Revenant (2015),Action,8.0,690094,183.64
342. The Revenant (2015),Action,8.0,690094,183.64
342. The Revenant (2015),Action,8.0,690094,183.64
342. The Revenant (2015),Action,8.0,690094,183.64
342. The Revenant (2015),Action,8.0,690094,183.64
16. The Matrix (1999),Action,8.7,1643911,171.48
366. Casino Royale (2006),Action,8.0,573813,167.45
366. Casino Royale (2006),Action,8.0,573813,167.45
366. Casino Royale (2006),Action,8.0,573813,167.45
366. Casino Royale (2006),Action,8.0,573813,167.45
366. Casino Royale (2006),Action,8.0,573813,167.45
366. Casino Royale (2006),Action,8.0,573813,167.45
366. Casino Royale (2006),Action,8.0,573813,167.45
221. Mad Max: Fury Road (2015),Action,8.1,863405,154.06
215. Ford v Ferrari (2019),Action,8.1,266291,117.62
339. Blade Runner 2049 (2017),Action,8.0,447374,92.05
339. Blade Runner 2049 (2017),Action,8.0,447374,92.05
339. Blade Runner 2049 (2017),Action,8.0,447374,92.05
339. Blade Runner 2049 (2017),Action,8.0,447374,92.05
339. Blade Runner 2049 (2017),Action,8.0,447374,92.05
339. Blade Runner 2049 (2017),Action,8.0,447374,92.05
339. Blade Runner 2049 (2017),Action,8.0,447374,92.05
107. Aliens (1986),Action,8.3,643457,85.16
169. Die Hard (1988),Action,8.2,772060,83.01
151. V for Vendetta (2005),Action,8.2,1015793,70.51
240. Kill Bill: Vol. 1 (2003),Action,8.1,983871,70.1
367. Kill Bill: Vol. 2 (2004),Action,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Action,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Action,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Action,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Action,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Action,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Action,8.0,672810,66.21
273. Blade Runner (1982),Action,8.1,682656,32.87
214. Rush (I) (2013),Action,8.1,425706,26.95
389. The Iron Giant (1999),Action,8.0,169363,23.16
389. The Iron Giant (1999),Action,8.0,169363,23.16
389. The Iron Giant (1999),Action,8.0,169363,23.16
389. The Iron Giant (1999),Action,8.0,169363,23.16
389. The Iron Giant (1999),Action,8.0,169363,23.16
389. The Iron Giant (1999),Action,8.0,169363,23.16
389. The Iron Giant (1999),Action,8.0,169363,23.16
134. Baahubali 2: The Conclusion (2017),Action,8.2,73216,20.19
42. Léon: The Professional (1994),Action,8.5,1015364,19.5
