Title,Genre,Rate,Votes,Gross(M)
43. The Lion King (1994),Animation,8.5,923988,422.78
93. Toy Story 3 (2010),Animation,8.3,744492,415.0
241. Finding Nemo (2003),Animation,8.1,933762,380.84
211. Inside Out (I) (2015),Animation,8.1,598153,356.46
331. Zootopia (2016),Animation,8.0,424584,341.27
331. Zootopia (2016),Animation,8.0,424584,341.27
331. Zootopia (2016),Animation,8.0,424584,341.27
331. Zootopia (2016),Animation,8.0,424584,341.27
331. Zootopia (2016),Animation,8.0,424584,341.27
331. Zootopia (2016),Animation,8.0,424584,341.27
331. Zootopia (2016),Animation,8.0,424584,341.27
146. Up (2009),Animation,8.2,917839,293.0
"381. Monsters, Inc. (2001)",Animation,8.0,800423,289.92
"381. Monsters, Inc. (2001)",Animation,8.0,800423,289.92
"381. Monsters, Inc. (2001)",Animation,8.0,800423,289.92
"381. Monsters, Inc. (2001)",Animation,8.0,800423,289.92
"381. Monsters, Inc. (2001)",Animation,8.0,800423,289.92
"381. Monsters, Inc. (2001)",Animation,8.0,800423,289.92
"381. Monsters, Inc. (2001)",Animation,8.0,800423,289.92
376. The Incredibles (2004),Animation,8.0,646521,261.44
376. The Incredibles (2004),Animation,8.0,646521,261.44
376. The Incredibles (2004),Animation,8.0,646521,261.44
376. The Incredibles (2004),Animation,8.0,646521,261.44
376. The Incredibles (2004),Animation,8.0,646521,261.44
376. The Incredibles (2004),Animation,8.0,646521,261.44
376. The Incredibles (2004),Animation,8.0,646521,261.44
66. WALL·E (2008),Animation,8.4,981245,223.81
228. How to Train Your Dragon (2010),Animation,8.1,655613,217.58
399. Aladdin (1992),Animation,8.0,367489,217.35
399. Aladdin (1992),Animation,8.0,367489,217.35
399. Aladdin (1992),Animation,8.0,367489,217.35
399. Aladdin (1992),Animation,8.0,367489,217.35
399. Aladdin (1992),Animation,8.0,367489,217.35
399. Aladdin (1992),Animation,8.0,367489,217.35
399. Aladdin (1992),Animation,8.0,367489,217.35
61. Coco (I) (2017),Animation,8.4,359386,209.73
365. Ratatouille (2007),Animation,8.0,628947,206.45
365. Ratatouille (2007),Animation,8.0,628947,206.45
365. Ratatouille (2007),Animation,8.0,628947,206.45
365. Ratatouille (2007),Animation,8.0,628947,206.45
365. Ratatouille (2007),Animation,8.0,628947,206.45
365. Ratatouille (2007),Animation,8.0,628947,206.45
365. Ratatouille (2007),Animation,8.0,628947,206.45
102. Toy Story (1995),Animation,8.3,870618,191.8
58. Spider-Man: Into the Spider-Verse (2018),Animation,8.4,344823,190.24
395. The Nightmare Before Christmas (1993),Animation,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Animation,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Animation,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Animation,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Animation,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Animation,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Animation,8.0,288364,75.08
389. The Iron Giant (1999),Animation,8.0,169363,23.16
389. The Iron Giant (1999),Animation,8.0,169363,23.16
389. The Iron Giant (1999),Animation,8.0,169363,23.16
389. The Iron Giant (1999),Animation,8.0,169363,23.16
389. The Iron Giant (1999),Animation,8.0,169363,23.16
389. The Iron Giant (1999),Animation,8.0,169363,23.16
389. The Iron Giant (1999),Animation,8.0,169363,23.16
23. Spirited Away (2001),Animation,8.6,633673,10.06
56. Your Name. (2016),Animation,8.4,183264,5.02
157. Howl's Moving Castle (2004),Animation,8.2,323510,4.71
356. Persepolis (2007),Animation,8.0,87487,4.45
356. Persepolis (2007),Animation,8.0,87487,4.45
356. Persepolis (2007),Animation,8.0,87487,4.45
356. Persepolis (2007),Animation,8.0,87487,4.45
356. Persepolis (2007),Animation,8.0,87487,4.45
356. Persepolis (2007),Animation,8.0,87487,4.45
356. Persepolis (2007),Animation,8.0,87487,4.45
70. Princess Mononoke (1997),Animation,8.4,334608,2.38
332. The Tale of The Princess Kaguya (2013),Animation,8.0,37070,1.51
332. The Tale of The Princess Kaguya (2013),Animation,8.0,37070,1.51
332. The Tale of The Princess Kaguya (2013),Animation,8.0,37070,1.51
332. The Tale of The Princess Kaguya (2013),Animation,8.0,37070,1.51
332. The Tale of The Princess Kaguya (2013),Animation,8.0,37070,1.51
332. The Tale of The Princess Kaguya (2013),Animation,8.0,37070,1.51
332. The Tale of The Princess Kaguya (2013),Animation,8.0,37070,1.51
168. My Neighbor Totoro (1988),Animation,8.2,282234,1.11
217. Song of the Sea (2014),Animation,8.1,49756,0.86
386. Perfect Blue (1997),Animation,8.0,55329,0.78
386. Perfect Blue (1997),Animation,8.0,55329,0.78
386. Perfect Blue (1997),Animation,8.0,55329,0.78
386. Perfect Blue (1997),Animation,8.0,55329,0.78
386. Perfect Blue (1997),Animation,8.0,55329,0.78
386. Perfect Blue (1997),Animation,8.0,55329,0.78
386. Perfect Blue (1997),Animation,8.0,55329,0.78
394. Ghost in the Shell (1995),Animation,8.0,126538,0.52
394. Ghost in the Shell (1995),Animation,8.0,126538,0.52
394. Ghost in the Shell (1995),Animation,8.0,126538,0.52
394. Ghost in the Shell (1995),Animation,8.0,126538,0.52
394. Ghost in the Shell (1995),Animation,8.0,126538,0.52
394. Ghost in the Shell (1995),Animation,8.0,126538,0.52
394. Ghost in the Shell (1995),Animation,8.0,126538,0.52
268. Nausicaä of the Valley of the Wind (1984),Animation,8.1,146806,0.5
