Title,Genre,Rate,Votes,Gross(M)
3. The Dark Knight (2008),Crime,9.0,2260649,534.86
33. Joker (2019),Crime,8.5,882903,335.45
242. Catch Me If You Can (2002),Crime,8.1,808593,164.62
113. The Sting (1973),Crime,8.3,237865,159.6
25. The Green Mile (1999),Crime,8.6,1122263,136.8
2. The Godfather (1972),Crime,9.2,1584782,134.97
37. The Departed (2006),Crime,8.5,1167751,132.38
28. The Silence of the Lambs (1991),Crime,8.6,1244794,130.74
147. The Wolf of Wall Street (2013),Crime,8.2,1152702,116.9
6. Pulp Fiction (1994),Crime,8.9,1792919,107.93
27. Se7en (1995),Crime,8.6,1414169,100.13
231. No Country for Old Men (2007),Crime,8.1,838551,74.28
362. Sin City (2005),Crime,8.0,734727,74.1
362. Sin City (2005),Crime,8.0,734727,74.1
362. Sin City (2005),Crime,8.0,734727,74.1
362. Sin City (2005),Crime,8.0,734727,74.1
362. Sin City (2005),Crime,8.0,734727,74.1
362. Sin City (2005),Crime,8.0,734727,74.1
362. Sin City (2005),Crime,8.0,734727,74.1
240. Kill Bill: Vol. 1 (2003),Crime,8.1,983871,70.1
163. Heat (1995),Crime,8.2,566421,67.44
367. Kill Bill: Vol. 2 (2004),Crime,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Crime,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Crime,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Crime,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Crime,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Crime,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Crime,8.0,672810,66.21
161. L.A. Confidential (1997),Crime,8.2,524506,64.62
220. Prisoners (2013),Crime,8.1,586763,61.0
207. The Grand Budapest Hotel (2014),Crime,8.1,692641,59.1
4. The Godfather: Part II (1974),Crime,9.0,1107253,57.3
"132. Three Billboards Outside Ebbing, Missouri (2017)",Crime,8.2,417153,54.51
17. Goodfellas (1990),Crime,8.7,999623,46.84
109. Scarface (1983),Crime,8.3,726839,45.6
216. Spotlight (I) (2015),Crime,8.1,410417,45.06
164. Casino (1995),Crime,8.2,456858,42.44
282. Paper Moon (1973),Crime,8.1,41550,30.93
97. Snatch (2000),Crime,8.3,770859,30.33
112. Taxi Driver (1976),Crime,8.3,709433,28.26
253. Fargo (1996),Crime,8.1,605437,24.61
41. The Usual Suspects (1995),Crime,8.5,975320,23.34
42. Léon: The Professional (1994),Crime,8.5,1015364,19.5
250. The Big Lebowski (1998),Crime,8.1,719459,17.5
286. Cool Hand Luke (1967),Crime,8.1,159322,16.22
304. On the Waterfront (1954),Crime,8.1,139663,9.6
304. On the Waterfront (1954),Crime,8.1,139663,9.6
304. On the Waterfront (1954),Crime,8.1,139663,9.6
304. On the Waterfront (1954),Crime,8.1,139663,9.6
304. On the Waterfront (1954),Crime,8.1,139663,9.6
304. On the Waterfront (1954),Crime,8.1,139663,9.6
304. On the Waterfront (1954),Crime,8.1,139663,9.6
78. Witness for the Prosecution (1957),Crime,8.4,106051,8.18
22. City of God (2002),Crime,8.6,689676,7.56
114. A Clockwork Orange (1971),Crime,8.3,745296,6.21
124. Double Indemnity (1944),Crime,8.3,140879,5.72
71. Once Upon a Time in America (1984),Crime,8.4,304974,5.32
"397. Blood In, Blood Out (1993)",Crime,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Crime,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Crime,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Crime,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Crime,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Crime,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Crime,8.0,28464,4.5
8. 12 Angry Men (1957),Crime,8.9,674629,4.36
383. Dancer in the Dark (2000),Crime,8.0,100634,4.18
383. Dancer in the Dark (2000),Crime,8.0,100634,4.18
383. Dancer in the Dark (2000),Crime,8.0,100634,4.18
383. Dancer in the Dark (2000),Crime,8.0,100634,4.18
383. Dancer in the Dark (2000),Crime,8.0,100634,4.18
383. Dancer in the Dark (2000),Crime,8.0,100634,4.18
383. Dancer in the Dark (2000),Crime,8.0,100634,4.18
"160. Lock, Stock and Two Smoking Barrels (1998)",Crime,8.2,527621,3.9
321. Shoplifters (2018),Crime,8.0,58260,3.31
321. Shoplifters (2018),Crime,8.0,58260,3.31
321. Shoplifters (2018),Crime,8.0,58260,3.31
321. Shoplifters (2018),Crime,8.0,58260,3.31
321. Shoplifters (2018),Crime,8.0,58260,3.31
