Title,Genre,Rate,Votes,Gross(M)
59. Avengers: Endgame (2019),Drama,8.4,772451,858.37
3. The Dark Knight (2008),Drama,9.0,2260649,534.86
43. The Lion King (1994),Drama,8.5,923988,422.78
224. Harry Potter and the Deathly Hallows: Part 2 (2011),Drama,8.1,748824,381.01
5. The Lord of the Rings: The Return of the King (2003),Drama,8.9,1614369,377.85
15. The Lord of the Rings: The Two Towers (2002),Drama,8.7,1459119,342.55
33. Joker (2019),Drama,8.5,882903,335.45
12. Forrest Gump (1994),Drama,8.8,1769309,330.25
11. The Lord of the Rings: The Fellowship of the Ring (2001),Drama,8.8,1630106,315.54
246. The Sixth Sense (1999),Drama,8.1,899294,293.51
330. The Martian (2015),Drama,8.0,746037,228.43
330. The Martian (2015),Drama,8.0,746037,228.43
330. The Martian (2015),Drama,8.0,746037,228.43
330. The Martian (2015),Drama,8.0,746037,228.43
330. The Martian (2015),Drama,8.0,746037,228.43
330. The Martian (2015),Drama,8.0,746037,228.43
330. The Martian (2015),Drama,8.0,746037,228.43
24. Saving Private Ryan (1998),Drama,8.6,1212774,216.54
341. Bohemian Rhapsody (2018),Drama,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Drama,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Drama,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Drama,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Drama,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Drama,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Drama,8.0,437959,216.43
313. Gone with the Wind (1939),Drama,8.1,285661,198.68
313. Gone with the Wind (1939),Drama,8.1,285661,198.68
313. Gone with the Wind (1939),Drama,8.1,285661,198.68
313. Gone with the Wind (1939),Drama,8.1,285661,198.68
313. Gone with the Wind (1939),Drama,8.1,285661,198.68
313. Gone with the Wind (1939),Drama,8.1,285661,198.68
313. Gone with the Wind (1939),Drama,8.1,285661,198.68
21. Interstellar (2014),Drama,8.6,1468447,188.02
39. Gladiator (2000),Drama,8.5,1317068,187.71
342. The Revenant (2015),Drama,8.0,690094,183.64
342. The Revenant (2015),Drama,8.0,690094,183.64
342. The Revenant (2015),Drama,8.0,690094,183.64
342. The Revenant (2015),Drama,8.0,690094,183.64
342. The Revenant (2015),Drama,8.0,690094,183.64
342. The Revenant (2015),Drama,8.0,690094,183.64
342. The Revenant (2015),Drama,8.0,690094,183.64
158. A Beautiful Mind (2001),Drama,8.2,833407,170.74
346. The Help (2011),Drama,8.0,421900,169.71
346. The Help (2011),Drama,8.0,421900,169.71
346. The Help (2011),Drama,8.0,421900,169.71
346. The Help (2011),Drama,8.0,421900,169.71
346. The Help (2011),Drama,8.0,421900,169.71
346. The Help (2011),Drama,8.0,421900,169.71
346. The Help (2011),Drama,8.0,421900,169.71
208. Gone Girl (2014),Drama,8.1,840447,167.77
242. Catch Me If You Can (2002),Drama,8.1,808593,164.62
358. The Pursuit of Happyness (2006),Drama,8.0,440206,163.57
358. The Pursuit of Happyness (2006),Drama,8.0,440206,163.57
358. The Pursuit of Happyness (2006),Drama,8.0,440206,163.57
358. The Pursuit of Happyness (2006),Drama,8.0,440206,163.57
358. The Pursuit of Happyness (2006),Drama,8.0,440206,163.57
358. The Pursuit of Happyness (2006),Drama,8.0,440206,163.57
358. The Pursuit of Happyness (2006),Drama,8.0,440206,163.57
62. Django Unchained (2012),Drama,8.4,1328656,162.81
113. The Sting (1973),Drama,8.3,237865,159.6
83. 1917 (2019),Drama,8.3,378902,159.23
328. La La Land (2016),Drama,8.0,492411,151.1
328. La La Land (2016),Drama,8.0,492411,151.1
328. La La Land (2016),Drama,8.0,492411,151.1
328. La La Land (2016),Drama,8.0,492411,151.1
328. La La Land (2016),Drama,8.0,492411,151.1
328. La La Land (2016),Drama,8.0,492411,151.1
328. La La Land (2016),Drama,8.0,492411,151.1
223. Gran Torino (2008),Drama,8.1,711102,148.1
353. Slumdog Millionaire (2008),Drama,8.0,789474,141.32
353. Slumdog Millionaire (2008),Drama,8.0,789474,141.32
353. Slumdog Millionaire (2008),Drama,8.0,789474,141.32
353. Slumdog Millionaire (2008),Drama,8.0,789474,141.32
353. Slumdog Millionaire (2008),Drama,8.0,789474,141.32
353. Slumdog Millionaire (2008),Drama,8.0,789474,141.32
353. Slumdog Millionaire (2008),Drama,8.0,789474,141.32
345. The King's Speech (2010),Drama,8.0,631099,138.8
345. The King's Speech (2010),Drama,8.0,631099,138.8
345. The King's Speech (2010),Drama,8.0,631099,138.8
345. The King's Speech (2010),Drama,8.0,631099,138.8
345. The King's Speech (2010),Drama,8.0,631099,138.8
345. The King's Speech (2010),Drama,8.0,631099,138.8
345. The King's Speech (2010),Drama,8.0,631099,138.8
266. Platoon (1986),Drama,8.1,375400,138.53
100. Good Will Hunting (1997),Drama,8.3,844208,138.43
25. The Green Mile (1999),Drama,8.6,1122263,136.8
2. The Godfather (1972),Drama,9.2,1584782,134.97
333. Wonder (I) (2017),Drama,8.0,136402,132.42
333. Wonder (I) (2017),Drama,8.0,136402,132.42
333. Wonder (I) (2017),Drama,8.0,136402,132.42
333. Wonder (I) (2017),Drama,8.0,136402,132.42
333. Wonder (I) (2017),Drama,8.0,136402,132.42
333. Wonder (I) (2017),Drama,8.0,136402,132.42
333. Wonder (I) (2017),Drama,8.0,136402,132.42
37. The Departed (2006),Drama,8.5,1167751,132.38
28. The Silence of the Lambs (1991),Drama,8.6,1244794,130.74
99. American Beauty (1999),Drama,8.3,1054672,130.1
248. The Truman Show (1998),Drama,8.1,918604,125.62
94. Inglourious Basterds (2009),Drama,8.3,1239498,120.54
215. Ford v Ferrari (2019),Drama,8.1,266291,117.62
277. Rocky (1976),Drama,8.1,509331,117.24
147. The Wolf of Wall Street (2013),Drama,8.2,1152702,116.9
19. One Flew Over the Cuckoo's Nest (1975),Drama,8.7,901247,112.0
6. Pulp Fiction (1994),Drama,8.9,1792919,107.93
354. Black Swan (2010),Drama,8.0,689512,106.95
354. Black Swan (2010),Drama,8.0,689512,106.95
354. Black Swan (2010),Drama,8.0,689512,106.95
354. Black Swan (2010),Drama,8.0,689512,106.95
354. Black Swan (2010),Drama,8.0,689512,106.95
354. Black Swan (2010),Drama,8.0,689512,106.95
354. Black Swan (2010),Drama,8.0,689512,106.95
166. Unforgiven (1992),Drama,8.2,369888,101.16
233. Million Dollar Baby (2004),Drama,8.1,626932,100.49
27. Se7en (1995),Drama,8.6,1414169,100.13
7. Schindler's List (1993),Drama,8.9,1191793,96.9
263. Dead Poets Society (1989),Drama,8.1,414799,95.86
339. Blade Runner 2049 (2017),Drama,8.0,447374,92.05
339. Blade Runner 2049 (2017),Drama,8.0,447374,92.05
339. Blade Runner 2049 (2017),Drama,8.0,447374,92.05
339. Blade Runner 2049 (2017),Drama,8.0,447374,92.05
339. Blade Runner 2049 (2017),Drama,8.0,447374,92.05
339. Blade Runner 2049 (2017),Drama,8.0,447374,92.05
339. Blade Runner 2049 (2017),Drama,8.0,447374,92.05
337. The Imitation Game (2014),Drama,8.0,672577,91.13
337. The Imitation Game (2014),Drama,8.0,672577,91.13
337. The Imitation Game (2014),Drama,8.0,672577,91.13
337. The Imitation Game (2014),Drama,8.0,672577,91.13
337. The Imitation Game (2014),Drama,8.0,672577,91.13
337. The Imitation Game (2014),Drama,8.0,672577,91.13
337. The Imitation Game (2014),Drama,8.0,672577,91.13
131. Green Book (2018),Drama,8.2,349960,85.08
74. Apocalypse Now (1979),Drama,8.4,595450,83.47
103. Braveheart (1995),Drama,8.3,946442,75.6
298. Ben-Hur (1959),Drama,8.1,216130,74.7
231. No Country for Old Men (2007),Drama,8.1,838551,74.28
151. V for Vendetta (2005),Drama,8.2,1015793,70.51
400. JFK (1991),Drama,8.0,139634,70.41
400. JFK (1991),Drama,8.0,139634,70.41
400. JFK (1991),Drama,8.0,139634,70.41
400. JFK (1991),Drama,8.0,139634,70.41
400. JFK (1991),Drama,8.0,139634,70.41
400. JFK (1991),Drama,8.0,139634,70.41
400. JFK (1991),Drama,8.0,139634,70.41
163. Heat (1995),Drama,8.2,566421,67.44
210. Hacksaw Ridge (2016),Drama,8.1,423108,67.21
375. Big Fish (2003),Drama,8.0,410478,66.26
375. Big Fish (2003),Drama,8.0,410478,66.26
375. Big Fish (2003),Drama,8.0,410478,66.26
375. Big Fish (2003),Drama,8.0,410478,66.26
375. Big Fish (2003),Drama,8.0,410478,66.26
375. Big Fish (2003),Drama,8.0,410478,66.26
375. Big Fish (2003),Drama,8.0,410478,66.26
161. L.A. Confidential (1997),Drama,8.2,524506,64.62
398. Scent of a Woman (1992),Drama,8.0,256515,63.9
398. Scent of a Woman (1992),Drama,8.0,256515,63.9
398. Scent of a Woman (1992),Drama,8.0,256515,63.9
398. Scent of a Woman (1992),Drama,8.0,256515,63.9
398. Scent of a Woman (1992),Drama,8.0,256515,63.9
398. Scent of a Woman (1992),Drama,8.0,256515,63.9
398. Scent of a Woman (1992),Drama,8.0,256515,63.9
371. Cinderella Man (2005),Drama,8.0,174120,61.65
371. Cinderella Man (2005),Drama,8.0,174120,61.65
371. Cinderella Man (2005),Drama,8.0,174120,61.65
371. Cinderella Man (2005),Drama,8.0,174120,61.65
371. Cinderella Man (2005),Drama,8.0,174120,61.65
371. Cinderella Man (2005),Drama,8.0,174120,61.65
371. Cinderella Man (2005),Drama,8.0,174120,61.65
220. Prisoners (2013),Drama,8.1,586763,61.0
26. Life Is Beautiful (1997),Drama,8.6,610713,57.6
359. Blood Diamond (2006),Drama,8.0,492148,57.37
359. Blood Diamond (2006),Drama,8.0,492148,57.37
359. Blood Diamond (2006),Drama,8.0,492148,57.37
359. Blood Diamond (2006),Drama,8.0,492148,57.37
359. Blood Diamond (2006),Drama,8.0,492148,57.37
359. Blood Diamond (2006),Drama,8.0,492148,57.37
359. Blood Diamond (2006),Drama,8.0,492148,57.37
4. The Godfather: Part II (1974),Drama,9.0,1107253,57.3
213. 12 Years a Slave (2013),Drama,8.1,628924,56.67
"132. Three Billboards Outside Ebbing, Missouri (2017)",Drama,8.2,417153,54.51
20. Parasite (2019),Drama,8.6,493887,53.37
36. The Prestige (2006),Drama,8.5,1165395,53.09
265. Stand by Me (1986),Drama,8.1,358019,52.29
108. Amadeus (1984),Drama,8.3,363387,51.97
329. Lion (2016),Drama,8.0,208735,51.74
329. Lion (2016),Drama,8.0,208735,51.74
329. Lion (2016),Drama,8.0,208735,51.74
329. Lion (2016),Drama,8.0,208735,51.74
329. Lion (2016),Drama,8.0,208735,51.74
329. Lion (2016),Drama,8.0,208735,51.74
329. Lion (2016),Drama,8.0,208735,51.74
276. The Deer Hunter (1978),Drama,8.1,306403,48.98
17. Goodfellas (1990),Drama,8.7,999623,46.84
105. Full Metal Jacket (1987),Drama,8.3,663140,46.36
109. Scarface (1983),Drama,8.3,726839,45.6
216. Spotlight (I) (2015),Drama,8.1,410417,45.06
303. The Bridge on the River Kwai (1957),Drama,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),Drama,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),Drama,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),Drama,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),Drama,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),Drama,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),Drama,8.1,200215,44.91
117. Lawrence of Arabia (1962),Drama,8.3,263491,44.82
73. The Shining (1980),Drama,8.4,877721,44.02
164. Casino (1995),Drama,8.2,456858,42.44
149. There Will Be Blood (2007),Drama,8.2,506982,40.22
150. Pan's Labyrinth (2006),Drama,8.2,610311,37.63
10. Fight Club (1999),Drama,8.8,1820268,37.03
95. Eternal Sunshine of the Spotless Mind (2004),Drama,8.3,896399,34.4
38. The Pianist (2002),Drama,8.5,713857,32.57
282. Paper Moon (1973),Drama,8.1,41550,30.93
281. Chinatown (1974),Drama,8.1,289138,29.2
1. The Shawshank Redemption (1994),Drama,9.3,2295987,28.34
112. Taxi Driver (1976),Drama,8.3,709433,28.26
357. Dallas Buyers Club (2013),Drama,8.0,432916,27.3
357. Dallas Buyers Club (2013),Drama,8.0,432916,27.3
357. Dallas Buyers Club (2013),Drama,8.0,432916,27.3
357. Dallas Buyers Club (2013),Drama,8.0,432916,27.3
357. Dallas Buyers Club (2013),Drama,8.0,432916,27.3
357. Dallas Buyers Club (2013),Drama,8.0,432916,27.3
357. Dallas Buyers Club (2013),Drama,8.0,432916,27.3
214. Rush (I) (2013),Drama,8.1,425706,26.95
340. Her (2013),Drama,8.0,528591,25.57
340. Her (2013),Drama,8.0,528591,25.57
340. Her (2013),Drama,8.0,528591,25.57
340. Her (2013),Drama,8.0,528591,25.57
340. Her (2013),Drama,8.0,528591,25.57
340. Her (2013),Drama,8.0,528591,25.57
340. Her (2013),Drama,8.0,528591,25.57
261. In the Name of the Father (1993),Drama,8.1,154017,25.01
253. Fargo (1996),Drama,8.1,605437,24.61
391. Sling Blade (1996),Drama,8.0,86021,24.48
391. Sling Blade (1996),Drama,8.0,86021,24.48
391. Sling Blade (1996),Drama,8.0,86021,24.48
391. Sling Blade (1996),Drama,8.0,86021,24.48
391. Sling Blade (1996),Drama,8.0,86021,24.48
391. Sling Blade (1996),Drama,8.0,86021,24.48
391. Sling Blade (1996),Drama,8.0,86021,24.48
234. Hotel Rwanda (2004),Drama,8.1,330697,23.53
171. Raging Bull (1980),Drama,8.2,316223,23.38
382. Magnolia (1999),Drama,8.0,286021,22.46
382. Magnolia (1999),Drama,8.0,286021,22.46
382. Magnolia (1999),Drama,8.0,286021,22.46
382. Magnolia (1999),Drama,8.0,286021,22.46
382. Magnolia (1999),Drama,8.0,286021,22.46
382. Magnolia (1999),Drama,8.0,286021,22.46
382. Magnolia (1999),Drama,8.0,286021,22.46
270. Pink Floyd: The Wall (1982),Drama,8.1,75151,22.24
134. Baahubali 2: The Conclusion (2017),Drama,8.2,73216,20.19
42. Léon: The Professional (1994),Drama,8.5,1015364,19.5
118. The Apartment (1960),Drama,8.3,160657,18.6
230. Into the Wild (2007),Drama,8.1,563894,18.35
343. The Perks of Being a Wallflower (2012),Drama,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Drama,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Drama,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Drama,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Drama,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Drama,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Drama,8.0,454585,17.74
252. Trainspotting (1996),Drama,8.1,626483,16.5
286. Cool Hand Luke (1967),Drama,8.1,159322,16.22
144. Warrior (2011),Drama,8.2,429970,13.66
392. Secrets & Lies (1996),Drama,8.0,36777,13.42
392. Secrets & Lies (1996),Drama,8.0,36777,13.42
392. Secrets & Lies (1996),Drama,8.0,36777,13.42
392. Secrets & Lies (1996),Drama,8.0,36777,13.42
392. Secrets & Lies (1996),Drama,8.0,36777,13.42
392. Secrets & Lies (1996),Drama,8.0,36777,13.42
392. Secrets & Lies (1996),Drama,8.0,36777,13.42
35. The Intouchables (2011),Drama,8.5,742461,13.18
34. Whiplash (2014),Drama,8.5,697753,13.09
57. Dangal (2016),Drama,8.4,150228,12.39
176. The Great Escape (1963),Drama,8.2,221171,12.1
45. Cinema Paradiso (1988),Drama,8.5,225330,11.99
111. Das Boot (1981),Drama,8.3,228112,11.49
67. The Lives of Others (2006),Drama,8.4,352300,11.29
309. The Red Shoes (1948),Drama,8.1,30229,10.9
309. The Red Shoes (1948),Drama,8.1,30229,10.9
309. The Red Shoes (1948),Drama,8.1,30229,10.9
309. The Red Shoes (1948),Drama,8.1,30229,10.9
309. The Red Shoes (1948),Drama,8.1,30229,10.9
309. The Red Shoes (1948),Drama,8.1,30229,10.9
309. The Red Shoes (1948),Drama,8.1,30229,10.9
205. PK (2014),Drama,8.1,158690,10.62
304. On the Waterfront (1954),Drama,8.1,139663,9.6
312. Mr. Smith Goes to Washington (1939),Drama,8.1,105195,9.6
304. On the Waterfront (1954),Drama,8.1,139663,9.6
312. Mr. Smith Goes to Washington (1939),Drama,8.1,105195,9.6
304. On the Waterfront (1954),Drama,8.1,139663,9.6
312. Mr. Smith Goes to Washington (1939),Drama,8.1,105195,9.6
304. On the Waterfront (1954),Drama,8.1,139663,9.6
312. Mr. Smith Goes to Washington (1939),Drama,8.1,105195,9.6
304. On the Waterfront (1954),Drama,8.1,139663,9.6
312. Mr. Smith Goes to Washington (1939),Drama,8.1,105195,9.6
304. On the Waterfront (1954),Drama,8.1,139663,9.6
312. Mr. Smith Goes to Washington (1939),Drama,8.1,105195,9.6
304. On the Waterfront (1954),Drama,8.1,139663,9.6
312. Mr. Smith Goes to Washington (1939),Drama,8.1,105195,9.6
78. Witness for the Prosecution (1957),Drama,8.4,106051,8.18
22. City of God (2002),Drama,8.6,689676,7.56
384. Mulholland Drive (2001),Drama,8.0,315529,7.22
384. Mulholland Drive (2001),Drama,8.0,315529,7.22
384. Mulholland Drive (2001),Drama,8.0,315529,7.22
384. Mulholland Drive (2001),Drama,8.0,315529,7.22
384. Mulholland Drive (2001),Drama,8.0,315529,7.22
384. Mulholland Drive (2001),Drama,8.0,315529,7.22
384. Mulholland Drive (2001),Drama,8.0,315529,7.22
89. A Separation (2011),Drama,8.3,215724,7.1
90. Incendies (2010),Drama,8.3,144833,6.86
203. Baahubali: The Beginning (2015),Drama,8.1,100826,6.74
40. American History X (1998),Drama,8.5,1020014,6.72
64. 3 Idiots (2009),Drama,8.4,335511,6.53
143. The Secret in Their Eyes (2009),Drama,8.2,189425,6.39
114. A Clockwork Orange (1971),Drama,8.3,745296,6.21
385. The Straight Story (1999),Drama,8.0,80521,6.2
385. The Straight Story (1999),Drama,8.0,80521,6.2
385. The Straight Story (1999),Drama,8.0,80521,6.2
385. The Straight Story (1999),Drama,8.0,80521,6.2
385. The Straight Story (1999),Drama,8.0,80521,6.2
385. The Straight Story (1999),Drama,8.0,80521,6.2
385. The Straight Story (1999),Drama,8.0,80521,6.2
363. The Diving Bell and the Butterfly (2007),Drama,8.0,102384,5.99
363. The Diving Bell and the Butterfly (2007),Drama,8.0,102384,5.99
363. The Diving Bell and the Butterfly (2007),Drama,8.0,102384,5.99
363. The Diving Bell and the Butterfly (2007),Drama,8.0,102384,5.99
363. The Diving Bell and the Butterfly (2007),Drama,8.0,102384,5.99
363. The Diving Bell and the Butterfly (2007),Drama,8.0,102384,5.99
363. The Diving Bell and the Butterfly (2007),Drama,8.0,102384,5.99
236. Before Sunset (2004),Drama,8.1,230917,5.82
124. Double Indemnity (1944),Drama,8.3,140879,5.72
388. Central Station (1998),Drama,8.0,35717,5.6
388. Central Station (1998),Drama,8.0,35717,5.6
388. Central Station (1998),Drama,8.0,35717,5.6
388. Central Station (1998),Drama,8.0,35717,5.6
388. Central Station (1998),Drama,8.0,35717,5.6
388. Central Station (1998),Drama,8.0,35717,5.6
388. Central Station (1998),Drama,8.0,35717,5.6
204. Gully Boy (2019),Drama,8.1,30303,5.57
257. Before Sunrise (1995),Drama,8.1,265523,5.54
156. Downfall (2004),Drama,8.2,326660,5.51
128. The Kid (1921),Drama,8.3,110513,5.45
190. The Gold Rush (1925),Drama,8.2,98647,5.45
243. Amores Perros (2000),Drama,8.1,220525,5.38
71. Once Upon a Time in America (1984),Drama,8.4,304974,5.32
56. Your Name. (2016),Drama,8.4,183264,5.02
188. The Treasure of the Sierra Madre (1948),Drama,8.2,112389,5.01
272. Fanny and Alexander (1982),Drama,8.1,56644,4.97
"397. Blood In, Blood Out (1993)",Drama,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Drama,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Drama,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Drama,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Drama,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Drama,8.0,28464,4.5
"397. Blood In, Blood Out (1993)",Drama,8.0,28464,4.5
356. Persepolis (2007),Drama,8.0,87487,4.45
356. Persepolis (2007),Drama,8.0,87487,4.45
356. Persepolis (2007),Drama,8.0,87487,4.45
356. Persepolis (2007),Drama,8.0,87487,4.45
356. Persepolis (2007),Drama,8.0,87487,4.45
356. Persepolis (2007),Drama,8.0,87487,4.45
356. Persepolis (2007),Drama,8.0,87487,4.45
8. 12 Angry Men (1957),Drama,8.9,674629,4.36
