Title,Genre,Rate,Votes,Gross(M)
66. WALL·E (2008),Family,8.4,981245,223.81
61. Coco (I) (2017),Family,8.4,359386,209.73
333. Wonder (I) (2017),Family,8.0,136402,132.42
333. Wonder (I) (2017),Family,8.0,136402,132.42
333. Wonder (I) (2017),Family,8.0,136402,132.42
333. Wonder (I) (2017),Family,8.0,136402,132.42
333. Wonder (I) (2017),Family,8.0,136402,132.42
333. Wonder (I) (2017),Family,8.0,136402,132.42
333. Wonder (I) (2017),Family,8.0,136402,132.42
395. The Nightmare Before Christmas (1993),Family,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Family,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Family,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Family,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Family,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Family,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Family,8.0,288364,75.08
264. The Princess Bride (1987),Family,8.1,388123,30.86
23. Spirited Away (2001),Family,8.6,633673,10.06
128. The Kid (1921),Family,8.3,110513,5.45
157. Howl's Moving Castle (2004),Family,8.2,323510,4.71
65. Like Stars on Earth (2007),Family,8.4,163796,1.22
148. Chak De! India (2007),Family,8.2,72790,1.11
168. My Neighbor Totoro (1988),Family,8.2,282234,1.11
101. Children of Heaven (1997),Family,8.3,63321,0.93
52. Modern Times (1936),Family,8.5,213289,0.16
