Title,Genre,Rate,Votes,Gross(M)
224. Harry Potter and the Deathly Hallows: Part 2 (2011),Fantasy,8.1,748824,381.01
29. Star Wars: Episode IV - A New Hope (1977),Fantasy,8.6,1211042,322.74
110. Star Wars: Episode VI - Return of the Jedi (1983),Fantasy,8.3,933808,309.13
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Fantasy,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Fantasy,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Fantasy,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Fantasy,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Fantasy,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Fantasy,8.0,1004943,305.41
374. Pirates of the Caribbean: The Curse of the Black Pearl (2003),Fantasy,8.0,1004943,305.41
18. Star Wars: Episode V - The Empire Strikes Back (1980),Fantasy,8.7,1139296,290.48
25. The Green Mile (1999),Fantasy,8.6,1122263,136.8
395. The Nightmare Before Christmas (1993),Fantasy,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Fantasy,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Fantasy,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Fantasy,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Fantasy,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Fantasy,8.0,288364,75.08
395. The Nightmare Before Christmas (1993),Fantasy,8.0,288364,75.08
396. Groundhog Day (1993),Fantasy,8.0,571642,70.91
396. Groundhog Day (1993),Fantasy,8.0,571642,70.91
396. Groundhog Day (1993),Fantasy,8.0,571642,70.91
396. Groundhog Day (1993),Fantasy,8.0,571642,70.91
396. Groundhog Day (1993),Fantasy,8.0,571642,70.91
396. Groundhog Day (1993),Fantasy,8.0,571642,70.91
396. Groundhog Day (1993),Fantasy,8.0,571642,70.91
375. Big Fish (2003),Fantasy,8.0,410478,66.26
375. Big Fish (2003),Fantasy,8.0,410478,66.26
375. Big Fish (2003),Fantasy,8.0,410478,66.26
375. Big Fish (2003),Fantasy,8.0,410478,66.26
375. Big Fish (2003),Fantasy,8.0,410478,66.26
375. Big Fish (2003),Fantasy,8.0,410478,66.26
375. Big Fish (2003),Fantasy,8.0,410478,66.26
150. Pan's Labyrinth (2006),Fantasy,8.2,610311,37.63
264. The Princess Bride (1987),Fantasy,8.1,388123,30.86
270. Pink Floyd: The Wall (1982),Fantasy,8.1,75151,22.24
56. Your Name. (2016),Fantasy,8.4,183264,5.02
70. Princess Mononoke (1997),Fantasy,8.4,334608,2.38
175. Monty Python and the Holy Grail (1975),Fantasy,8.2,494389,1.23
168. My Neighbor Totoro (1988),Fantasy,8.2,282234,1.11
206. OMG: Oh My God! (2012),Fantasy,8.1,50288,0.92
268. Nausicaä of the Valley of the Wind (1984),Fantasy,8.1,146806,0.5
