Title,Genre,Rate,Votes,Gross(M)
124. Double Indemnity (1944),Film-Noir,8.3,140879,5.72
306. Ace in the Hole (1951),Film-Noir,8.1,30824,3.97
306. Ace in the Hole (1951),Film-Noir,8.1,30824,3.97
306. Ace in the Hole (1951),Film-Noir,8.1,30824,3.97
306. Ace in the Hole (1951),Film-Noir,8.1,30824,3.97
306. Ace in the Hole (1951),Film-Noir,8.1,30824,3.97
306. Ace in the Hole (1951),Film-Noir,8.1,30824,3.97
306. Ace in the Hole (1951),Film-Noir,8.1,30824,3.97
308. The Third Man (1949),Film-Noir,8.1,156370,0.45
308. The Third Man (1949),Film-Noir,8.1,156370,0.45
308. The Third Man (1949),Film-Noir,8.1,156370,0.45
308. The Third Man (1949),Film-Noir,8.1,156370,0.45
308. The Third Man (1949),Film-Noir,8.1,156370,0.45
308. The Third Man (1949),Film-Noir,8.1,156370,0.45
308. The Third Man (1949),Film-Noir,8.1,156370,0.45
