Title,Genre,Rate,Votes,Gross(M)
341. Bohemian Rhapsody (2018),Music,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Music,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Music,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Music,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Music,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Music,8.0,437959,216.43
341. Bohemian Rhapsody (2018),Music,8.0,437959,216.43
328. La La Land (2016),Music,8.0,492411,151.1
328. La La Land (2016),Music,8.0,492411,151.1
328. La La Land (2016),Music,8.0,492411,151.1
328. La La Land (2016),Music,8.0,492411,151.1
328. La La Land (2016),Music,8.0,492411,151.1
328. La La Land (2016),Music,8.0,492411,151.1
328. La La Land (2016),Music,8.0,492411,151.1
38. The Pianist (2002),Music,8.5,713857,32.57
180. Some Like It Hot (1959),Music,8.2,239812,25.0
270. Pink Floyd: The Wall (1982),Music,8.1,75151,22.24
34. Whiplash (2014),Music,8.5,697753,13.09
309. The Red Shoes (1948),Music,8.1,30229,10.9
309. The Red Shoes (1948),Music,8.1,30229,10.9
309. The Red Shoes (1948),Music,8.1,30229,10.9
309. The Red Shoes (1948),Music,8.1,30229,10.9
309. The Red Shoes (1948),Music,8.1,30229,10.9
309. The Red Shoes (1948),Music,8.1,30229,10.9
309. The Red Shoes (1948),Music,8.1,30229,10.9
204. Gully Boy (2019),Music,8.1,30303,5.57
225. Departures (2008),Music,8.1,47933,1.5
247. The Legend of 1900 (1998),Music,8.1,57916,0.26
