Title,Genre,Rate,Votes,Gross(M)
205. PK (2014),Musical,8.1,158690,10.62
121. Singin' in the Rain (1952),Musical,8.3,214849,8.82
383. Dancer in the Dark (2000),Musical,8.0,100634,4.18
383. Dancer in the Dark (2000),Musical,8.0,100634,4.18
383. Dancer in the Dark (2000),Musical,8.0,100634,4.18
383. Dancer in the Dark (2000),Musical,8.0,100634,4.18
383. Dancer in the Dark (2000),Musical,8.0,100634,4.18
383. Dancer in the Dark (2000),Musical,8.0,100634,4.18
383. Dancer in the Dark (2000),Musical,8.0,100634,4.18
245. Lagaan: Once Upon a Time in India (2001),Musical,8.1,103246,0.07
