Title,Genre,Rate,Votes,Gross(M)
246. The Sixth Sense (1999),Mystery,8.1,899294,293.51
360. The Bourne Ultimatum (2007),Mystery,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Mystery,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Mystery,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Mystery,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Mystery,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Mystery,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Mystery,8.0,599314,227.47
208. Gone Girl (2014),Mystery,8.1,840447,167.77
145. Shutter Island (2010),Mystery,8.2,1105456,128.01
27. Se7en (1995),Mystery,8.6,1414169,100.13
339. Blade Runner 2049 (2017),Mystery,8.0,447374,92.05
339. Blade Runner 2049 (2017),Mystery,8.0,447374,92.05
339. Blade Runner 2049 (2017),Mystery,8.0,447374,92.05
339. Blade Runner 2049 (2017),Mystery,8.0,447374,92.05
339. Blade Runner 2049 (2017),Mystery,8.0,447374,92.05
339. Blade Runner 2049 (2017),Mystery,8.0,447374,92.05
339. Blade Runner 2049 (2017),Mystery,8.0,447374,92.05
74. Apocalypse Now (1979),Mystery,8.4,595450,83.47
161. L.A. Confidential (1997),Mystery,8.2,524506,64.62
220. Prisoners (2013),Mystery,8.1,586763,61.0
393. 12 Monkeys (1995),Mystery,8.0,571158,57.14
393. 12 Monkeys (1995),Mystery,8.0,571158,57.14
393. 12 Monkeys (1995),Mystery,8.0,571158,57.14
393. 12 Monkeys (1995),Mystery,8.0,571158,57.14
393. 12 Monkeys (1995),Mystery,8.0,571158,57.14
393. 12 Monkeys (1995),Mystery,8.0,571158,57.14
393. 12 Monkeys (1995),Mystery,8.0,571158,57.14
36. The Prestige (2006),Mystery,8.5,1165395,53.09
80. Rear Window (1954),Mystery,8.4,435967,36.76
50. Psycho (1960),Mystery,8.5,592419,32.0
281. Chinatown (1974),Mystery,8.1,289138,29.2
69. Memento (2000),Mystery,8.4,1107298,25.54
41. The Usual Suspects (1995),Mystery,8.5,975320,23.34
269. The Thing (1982),Mystery,8.1,363529,13.78
119. North by Northwest (1959),Mystery,8.3,294175,13.28
67. The Lives of Others (2006),Mystery,8.4,352300,11.29
78. Witness for the Prosecution (1957),Mystery,8.4,106051,8.18
384. Mulholland Drive (2001),Mystery,8.0,315529,7.22
384. Mulholland Drive (2001),Mystery,8.0,315529,7.22
384. Mulholland Drive (2001),Mystery,8.0,315529,7.22
384. Mulholland Drive (2001),Mystery,8.0,315529,7.22
384. Mulholland Drive (2001),Mystery,8.0,315529,7.22
384. Mulholland Drive (2001),Mystery,8.0,315529,7.22
384. Mulholland Drive (2001),Mystery,8.0,315529,7.22
90. Incendies (2010),Mystery,8.3,144833,6.86
143. The Secret in Their Eyes (2009),Mystery,8.2,189425,6.39
311. Rebecca (1940),Mystery,8.1,120476,4.36
311. Rebecca (1940),Mystery,8.1,120476,4.36
311. Rebecca (1940),Mystery,8.1,120476,4.36
311. Rebecca (1940),Mystery,8.1,120476,4.36
311. Rebecca (1940),Mystery,8.1,120476,4.36
311. Rebecca (1940),Mystery,8.1,120476,4.36
311. Rebecca (1940),Mystery,8.1,120476,4.36
258. Three Colors: Red (1994),Mystery,8.1,88697,4.04
120. Vertigo (1958),Mystery,8.3,356579,3.2
125. Citizen Kane (1941),Mystery,8.3,392283,1.59
380. Donnie Darko (2001),Mystery,8.0,731386,1.48
380. Donnie Darko (2001),Mystery,8.0,731386,1.48
380. Donnie Darko (2001),Mystery,8.0,731386,1.48
380. Donnie Darko (2001),Mystery,8.0,731386,1.48
380. Donnie Darko (2001),Mystery,8.0,731386,1.48
380. Donnie Darko (2001),Mystery,8.0,731386,1.48
380. Donnie Darko (2001),Mystery,8.0,731386,1.48
218. Kahaani (2012),Mystery,8.1,56842,1.04
386. Perfect Blue (1997),Mystery,8.0,55329,0.78
386. Perfect Blue (1997),Mystery,8.0,55329,0.78
386. Perfect Blue (1997),Mystery,8.0,55329,0.78
386. Perfect Blue (1997),Mystery,8.0,55329,0.78
386. Perfect Blue (1997),Mystery,8.0,55329,0.78
386. Perfect Blue (1997),Mystery,8.0,55329,0.78
386. Perfect Blue (1997),Mystery,8.0,55329,0.78
136. Drishyam (2015),Mystery,8.2,67235,0.74
68. Oldboy (2003),Mystery,8.4,505043,0.71
308. The Third Man (1949),Mystery,8.1,156370,0.45
308. The Third Man (1949),Mystery,8.1,156370,0.45
308. The Third Man (1949),Mystery,8.1,156370,0.45
308. The Third Man (1949),Mystery,8.1,156370,0.45
308. The Third Man (1949),Mystery,8.1,156370,0.45
308. The Third Man (1949),Mystery,8.1,156370,0.45
308. The Third Man (1949),Mystery,8.1,156370,0.45
133. Talvar (2015),Mystery,8.2,30321,0.34
348. Darbareye Elly (2009),Mystery,8.0,44293,0.11
348. Darbareye Elly (2009),Mystery,8.0,44293,0.11
348. Darbareye Elly (2009),Mystery,8.0,44293,0.11
348. Darbareye Elly (2009),Mystery,8.0,44293,0.11
348. Darbareye Elly (2009),Mystery,8.0,44293,0.11
348. Darbareye Elly (2009),Mystery,8.0,44293,0.11
348. Darbareye Elly (2009),Mystery,8.0,44293,0.11
186. Rashomon (1950),Mystery,8.2,149595,0.1
285. Le Samouraï (1967),Mystery,8.1,44382,0.04
126. M (1931),Mystery,8.3,140682,0.03
