Title,Genre,Rate,Votes,Gross(M)
12. Forrest Gump (1994),Romance,8.8,1769309,330.25
313. Gone with the Wind (1939),Romance,8.1,285661,198.68
313. Gone with the Wind (1939),Romance,8.1,285661,198.68
313. Gone with the Wind (1939),Romance,8.1,285661,198.68
313. Gone with the Wind (1939),Romance,8.1,285661,198.68
313. Gone with the Wind (1939),Romance,8.1,285661,198.68
313. Gone with the Wind (1939),Romance,8.1,285661,198.68
313. Gone with the Wind (1939),Romance,8.1,285661,198.68
353. Slumdog Millionaire (2008),Romance,8.0,789474,141.32
353. Slumdog Millionaire (2008),Romance,8.0,789474,141.32
353. Slumdog Millionaire (2008),Romance,8.0,789474,141.32
353. Slumdog Millionaire (2008),Romance,8.0,789474,141.32
353. Slumdog Millionaire (2008),Romance,8.0,789474,141.32
353. Slumdog Millionaire (2008),Romance,8.0,789474,141.32
353. Slumdog Millionaire (2008),Romance,8.0,789474,141.32
100. Good Will Hunting (1997),Romance,8.3,844208,138.43
396. Groundhog Day (1993),Romance,8.0,571642,70.91
396. Groundhog Day (1993),Romance,8.0,571642,70.91
396. Groundhog Day (1993),Romance,8.0,571642,70.91
396. Groundhog Day (1993),Romance,8.0,571642,70.91
396. Groundhog Day (1993),Romance,8.0,571642,70.91
396. Groundhog Day (1993),Romance,8.0,571642,70.91
396. Groundhog Day (1993),Romance,8.0,571642,70.91
26. Life Is Beautiful (1997),Romance,8.6,610713,57.6
95. Eternal Sunshine of the Spotless Mind (2004),Romance,8.3,896399,34.4
96. Amélie (2001),Romance,8.3,694066,33.23
340. Her (2013),Romance,8.0,528591,25.57
340. Her (2013),Romance,8.0,528591,25.57
340. Her (2013),Romance,8.0,528591,25.57
340. Her (2013),Romance,8.0,528591,25.57
340. Her (2013),Romance,8.0,528591,25.57
340. Her (2013),Romance,8.0,528591,25.57
340. Her (2013),Romance,8.0,528591,25.57
180. Some Like It Hot (1959),Romance,8.2,239812,25.0
118. The Apartment (1960),Romance,8.3,160657,18.6
343. The Perks of Being a Wallflower (2012),Romance,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Romance,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Romance,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Romance,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Romance,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Romance,8.0,454585,17.74
343. The Perks of Being a Wallflower (2012),Romance,8.0,454585,17.74
309. The Red Shoes (1948),Romance,8.1,30229,10.9
309. The Red Shoes (1948),Romance,8.1,30229,10.9
309. The Red Shoes (1948),Romance,8.1,30229,10.9
309. The Red Shoes (1948),Romance,8.1,30229,10.9
309. The Red Shoes (1948),Romance,8.1,30229,10.9
309. The Red Shoes (1948),Romance,8.1,30229,10.9
309. The Red Shoes (1948),Romance,8.1,30229,10.9
121. Singin' in the Rain (1952),Romance,8.3,214849,8.82
143. The Secret in Their Eyes (2009),Romance,8.2,189425,6.39
236. Before Sunset (2004),Romance,8.1,230917,5.82
257. Before Sunrise (1995),Romance,8.1,265523,5.54
311. Rebecca (1940),Romance,8.1,120476,4.36
315. It Happened One Night (1934),Romance,8.1,92103,4.36
311. Rebecca (1940),Romance,8.1,120476,4.36
315. It Happened One Night (1934),Romance,8.1,92103,4.36
311. Rebecca (1940),Romance,8.1,120476,4.36
315. It Happened One Night (1934),Romance,8.1,92103,4.36
311. Rebecca (1940),Romance,8.1,120476,4.36
315. It Happened One Night (1934),Romance,8.1,92103,4.36
311. Rebecca (1940),Romance,8.1,120476,4.36
315. It Happened One Night (1934),Romance,8.1,92103,4.36
311. Rebecca (1940),Romance,8.1,120476,4.36
315. It Happened One Night (1934),Romance,8.1,92103,4.36
311. Rebecca (1940),Romance,8.1,120476,4.36
315. It Happened One Night (1934),Romance,8.1,92103,4.36
258. Three Colors: Red (1994),Romance,8.1,88697,4.04
192. Portrait of a Lady on Fire (2019),Romance,8.1,53839,3.76
120. Vertigo (1958),Romance,8.3,356579,3.2
212. Barfi! (2012),Romance,8.1,74509,2.8
251. In the Mood for Love (2000),Romance,8.1,120591,2.73
262. Raise the Red Lantern (1991),Romance,8.1,29016,2.6
"369. Spring, Summer, Fall, Winter... and Spring (2003)",Romance,8.0,76069,2.38
"369. Spring, Summer, Fall, Winter... and Spring (2003)",Romance,8.0,76069,2.38
"369. Spring, Summer, Fall, Winter... and Spring (2003)",Romance,8.0,76069,2.38
"369. Spring, Summer, Fall, Winter... and Spring (2003)",Romance,8.0,76069,2.38
"369. Spring, Summer, Fall, Winter... and Spring (2003)",Romance,8.0,76069,2.38
"369. Spring, Summer, Fall, Winter... and Spring (2003)",Romance,8.0,76069,2.38
"369. Spring, Summer, Fall, Winter... and Spring (2003)",Romance,8.0,76069,2.38
232. Lage Raho Munna Bhai (2006),Romance,8.1,42267,2.22
196. The Handmaiden (2016),Romance,8.1,107104,2.01
323. Marriage Story (2019),Romance,8.0,232900,2.0
323. Marriage Story (2019),Romance,8.0,232900,2.0
323. Marriage Story (2019),Romance,8.0,232900,2.0
323. Marriage Story (2019),Romance,8.0,232900,2.0
323. Marriage Story (2019),Romance,8.0,232900,2.0
323. Marriage Story (2019),Romance,8.0,232900,2.0
323. Marriage Story (2019),Romance,8.0,232900,2.0
372. Kal ho naa ho (2003),Romance,8.0,62395,1.79
372. Kal ho naa ho (2003),Romance,8.0,62395,1.79
372. Kal ho naa ho (2003),Romance,8.0,62395,1.79
372. Kal ho naa ho (2003),Romance,8.0,62395,1.79
372. Kal ho naa ho (2003),Romance,8.0,62395,1.79
372. Kal ho naa ho (2003),Romance,8.0,62395,1.79
372. Kal ho naa ho (2003),Romance,8.0,62395,1.79
51. Casablanca (1942),Romance,8.5,513591,1.02
191. Sherlock Jr. (1924),Romance,8.2,40404,0.98
318. Sunrise (1927),Romance,8.1,46342,0.54
318. Sunrise (1927),Romance,8.1,46342,0.54
318. Sunrise (1927),Romance,8.1,46342,0.54
318. Sunrise (1927),Romance,8.1,46342,0.54
318. Sunrise (1927),Romance,8.1,46342,0.54
318. Sunrise (1927),Romance,8.1,46342,0.54
318. Sunrise (1927),Romance,8.1,46342,0.54
"249. Black Cat, White Cat (1998)",Romance,8.1,50107,0.35
239. Dil Chahta Hai (2001),Romance,8.1,65835,0.3
247. The Legend of 1900 (1998),Romance,8.1,57916,0.26
361. 3-Iron (2004),Romance,8.0,49242,0.24
361. 3-Iron (2004),Romance,8.0,49242,0.24
361. 3-Iron (2004),Romance,8.0,49242,0.24
361. 3-Iron (2004),Romance,8.0,49242,0.24
361. 3-Iron (2004),Romance,8.0,49242,0.24
361. 3-Iron (2004),Romance,8.0,49242,0.24
361. 3-Iron (2004),Romance,8.0,49242,0.24
310. The Shop Around the Corner (1940),Romance,8.1,27039,0.2
310. The Shop Around the Corner (1940),Romance,8.1,27039,0.2
310. The Shop Around the Corner (1940),Romance,8.1,27039,0.2
