Title,Genre,Rate,Votes,Gross(M)
60. Avengers: Infinity War (2018),Sci-Fi,8.4,806961,678.82
355. The Avengers (2012),Sci-Fi,8.0,1246498,623.28
355. The Avengers (2012),Sci-Fi,8.0,1246498,623.28
355. The Avengers (2012),Sci-Fi,8.0,1246498,623.28
355. The Avengers (2012),Sci-Fi,8.0,1246498,623.28
355. The Avengers (2012),Sci-Fi,8.0,1246498,623.28
355. The Avengers (2012),Sci-Fi,8.0,1246498,623.28
355. The Avengers (2012),Sci-Fi,8.0,1246498,623.28
260. Jurassic Park (1993),Sci-Fi,8.1,852358,402.45
9. Inception (2010),Sci-Fi,8.8,2022655,292.58
330. The Martian (2015),Sci-Fi,8.0,746037,228.43
330. The Martian (2015),Sci-Fi,8.0,746037,228.43
330. The Martian (2015),Sci-Fi,8.0,746037,228.43
330. The Martian (2015),Sci-Fi,8.0,746037,228.43
330. The Martian (2015),Sci-Fi,8.0,746037,228.43
330. The Martian (2015),Sci-Fi,8.0,746037,228.43
330. The Martian (2015),Sci-Fi,8.0,746037,228.43
47. Back to the Future (1985),Sci-Fi,8.5,1036180,210.61
44. Terminator 2: Judgment Day (1991),Sci-Fi,8.5,980974,204.84
21. Interstellar (2014),Sci-Fi,8.6,1468447,188.02
16. The Matrix (1999),Sci-Fi,8.7,1643911,171.48
221. Mad Max: Fury Road (2015),Sci-Fi,8.1,863405,154.06
248. The Truman Show (1998),Sci-Fi,8.1,918604,125.62
107. Aliens (1986),Sci-Fi,8.3,643457,85.16
75. Alien (1979),Sci-Fi,8.4,774503,78.9
151. V for Vendetta (2005),Sci-Fi,8.2,1015793,70.51
393. 12 Monkeys (1995),Sci-Fi,8.0,571158,57.14
393. 12 Monkeys (1995),Sci-Fi,8.0,571158,57.14
393. 12 Monkeys (1995),Sci-Fi,8.0,571158,57.14
393. 12 Monkeys (1995),Sci-Fi,8.0,571158,57.14
393. 12 Monkeys (1995),Sci-Fi,8.0,571158,57.14
393. 12 Monkeys (1995),Sci-Fi,8.0,571158,57.14
393. 12 Monkeys (1995),Sci-Fi,8.0,571158,57.14
115. 2001: A Space Odyssey (1968),Sci-Fi,8.3,592443,56.95
36. The Prestige (2006),Sci-Fi,8.5,1165395,53.09
95. Eternal Sunshine of the Spotless Mind (2004),Sci-Fi,8.3,896399,34.4
273. Blade Runner (1982),Sci-Fi,8.1,682656,32.87
340. Her (2013),Sci-Fi,8.0,528591,25.57
340. Her (2013),Sci-Fi,8.0,528591,25.57
340. Her (2013),Sci-Fi,8.0,528591,25.57
340. Her (2013),Sci-Fi,8.0,528591,25.57
340. Her (2013),Sci-Fi,8.0,528591,25.57
340. Her (2013),Sci-Fi,8.0,528591,25.57
340. Her (2013),Sci-Fi,8.0,528591,25.57
269. The Thing (1982),Sci-Fi,8.1,363529,13.78
114. A Clockwork Orange (1971),Sci-Fi,8.3,745296,6.21
380. Donnie Darko (2001),Sci-Fi,8.0,731386,1.48
380. Donnie Darko (2001),Sci-Fi,8.0,731386,1.48
380. Donnie Darko (2001),Sci-Fi,8.0,731386,1.48
380. Donnie Darko (2001),Sci-Fi,8.0,731386,1.48
380. Donnie Darko (2001),Sci-Fi,8.0,731386,1.48
380. Donnie Darko (2001),Sci-Fi,8.0,731386,1.48
380. Donnie Darko (2001),Sci-Fi,8.0,731386,1.48
127. Metropolis (1927),Sci-Fi,8.3,157436,1.24
172. Stalker (1979),Sci-Fi,8.2,113530,0.23
