Title,Genre,Rate,Votes,Gross(M)
33. Joker (2019),Thriller,8.5,882903,335.45
246. The Sixth Sense (1999),Thriller,8.1,899294,293.51
360. The Bourne Ultimatum (2007),Thriller,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Thriller,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Thriller,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Thriller,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Thriller,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Thriller,8.0,599314,227.47
360. The Bourne Ultimatum (2007),Thriller,8.0,599314,227.47
208. Gone Girl (2014),Thriller,8.1,840447,167.77
366. Casino Royale (2006),Thriller,8.0,573813,167.45
366. Casino Royale (2006),Thriller,8.0,573813,167.45
366. Casino Royale (2006),Thriller,8.0,573813,167.45
366. Casino Royale (2006),Thriller,8.0,573813,167.45
366. Casino Royale (2006),Thriller,8.0,573813,167.45
366. Casino Royale (2006),Thriller,8.0,573813,167.45
366. Casino Royale (2006),Thriller,8.0,573813,167.45
37. The Departed (2006),Thriller,8.5,1167751,132.38
28. The Silence of the Lambs (1991),Thriller,8.6,1244794,130.74
145. Shutter Island (2010),Thriller,8.2,1105456,128.01
354. Black Swan (2010),Thriller,8.0,689512,106.95
354. Black Swan (2010),Thriller,8.0,689512,106.95
354. Black Swan (2010),Thriller,8.0,689512,106.95
354. Black Swan (2010),Thriller,8.0,689512,106.95
354. Black Swan (2010),Thriller,8.0,689512,106.95
354. Black Swan (2010),Thriller,8.0,689512,106.95
354. Black Swan (2010),Thriller,8.0,689512,106.95
337. The Imitation Game (2014),Thriller,8.0,672577,91.13
337. The Imitation Game (2014),Thriller,8.0,672577,91.13
337. The Imitation Game (2014),Thriller,8.0,672577,91.13
337. The Imitation Game (2014),Thriller,8.0,672577,91.13
337. The Imitation Game (2014),Thriller,8.0,672577,91.13
337. The Imitation Game (2014),Thriller,8.0,672577,91.13
337. The Imitation Game (2014),Thriller,8.0,672577,91.13
169. Die Hard (1988),Thriller,8.2,772060,83.01
231. No Country for Old Men (2007),Thriller,8.1,838551,74.28
362. Sin City (2005),Thriller,8.0,734727,74.1
362. Sin City (2005),Thriller,8.0,734727,74.1
362. Sin City (2005),Thriller,8.0,734727,74.1
362. Sin City (2005),Thriller,8.0,734727,74.1
362. Sin City (2005),Thriller,8.0,734727,74.1
362. Sin City (2005),Thriller,8.0,734727,74.1
362. Sin City (2005),Thriller,8.0,734727,74.1
400. JFK (1991),Thriller,8.0,139634,70.41
400. JFK (1991),Thriller,8.0,139634,70.41
400. JFK (1991),Thriller,8.0,139634,70.41
400. JFK (1991),Thriller,8.0,139634,70.41
400. JFK (1991),Thriller,8.0,139634,70.41
400. JFK (1991),Thriller,8.0,139634,70.41
400. JFK (1991),Thriller,8.0,139634,70.41
240. Kill Bill: Vol. 1 (2003),Thriller,8.1,983871,70.1
163. Heat (1995),Thriller,8.2,566421,67.44
367. Kill Bill: Vol. 2 (2004),Thriller,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Thriller,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Thriller,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Thriller,8.0,672810,66.21
367. Kill Bill: Vol. 2 (2004),Thriller,8.0,672810,66.21
