Title,Genre,Rate,Votes,Gross(M)
24. Saving Private Ryan (1998),War,8.6,1212774,216.54
83. 1917 (2019),War,8.3,378902,159.23
266. Platoon (1986),War,8.1,375400,138.53
94. Inglourious Basterds (2009),War,8.3,1239498,120.54
74. Apocalypse Now (1979),War,8.4,595450,83.47
276. The Deer Hunter (1978),War,8.1,306403,48.98
105. Full Metal Jacket (1987),War,8.3,663140,46.36
303. The Bridge on the River Kwai (1957),War,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),War,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),War,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),War,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),War,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),War,8.1,200215,44.91
303. The Bridge on the River Kwai (1957),War,8.1,200215,44.91
150. Pan's Labyrinth (2006),War,8.2,610311,37.63
90. Incendies (2010),War,8.3,144833,6.86
84. Uri: The Surgical Strike (2019),War,8.3,41887,4.19
170. Ran (1985),War,8.2,110056,4.14
235. Tae Guk Gi: The Brotherhood of War (2004),War,8.1,37485,1.11
51. Casablanca (1942),War,8.5,513591,1.02
82. The Great Dictator (1940),War,8.4,199210,0.29
254. Underground (1995),War,8.1,54475,0.17
314. La Grande Illusion (1937),War,8.1,33364,0.17
314. La Grande Illusion (1937),War,8.1,33364,0.17
314. La Grande Illusion (1937),War,8.1,33364,0.17
314. La Grande Illusion (1937),War,8.1,33364,0.17
314. La Grande Illusion (1937),War,8.1,33364,0.17
314. La Grande Illusion (1937),War,8.1,33364,0.17
314. La Grande Illusion (1937),War,8.1,33364,0.17
138. Tangerines (2013),War,8.2,38259,0.14
289. The Battle of Algiers (1966),War,8.1,51734,0.06
